Index,Link,Playlist ID,unit test ID,Optional/Essential (O/E),Number of cycles
,,,,,
,,,,,
,"Playlist 1: Read/write 4 digit numbers, place value and face value, expanded form of numbers",g3_p1,,E,
,Subtitle: Week 1,,,,
Video 1,/v/place-value-1/,,,E,
Video 2,/v/place-value-3/,,,E,
Video 3,/v/representing-numbers/,,,E,
Video 4,/v/comparing-place-values/,,,E,
Exercise 1,/e/place_value/ ,,,E,
,,,,,
,"Playlist 2: Identify numbers that are <, >, =- ascending and descending numbers",g3_p2,,E,
Video 1,/v/greater-than-and-less-than-symbols/,,,E,
Exercise 1,/e/comparing_whole_numbers/,,,E,
,Subtitle: Week 2,,,,
Video 2,/v/plotting-inequalities-on-a-number-line/,,,E,
Video 3,/v/writing-numerical-inequalities-exercise/,,,E,
Video 4,/v/inequalities-in-one-variable-1-exercise/,,,E,
Video 5,/v/inequalities-on-a-number-line/,,,E,
Exercise 2,/e/inequalities_on_a_number_line/,,,E,
,Quiz 1,g3_p2_q1,,E,
,,,,,
,Playlist 3: Write place value/face value and expanded form of 3/4 digit numbes,g3_p3,,E,
,Subtitle: Week 4,,,,
Video 1, /v/place-value-1/,,,E,
Video 2,/v/place-value-3/,,,E,
Video 3,/v/representing-numbers/,,,E,
Video 4,/v/comparing-place-values/,,,E,
Exercise 1,/e/place_value/,,,E,
Video 5,/v/counting-1-exercise/,,,E,
Exercise 2,/e/counting_1/,,,E,
Video 6,/v/regrouping-whole-numbers/,,,E,
Video 7,/v/regrouping-whole-numbers-example-1/,,,E,
Video 8,/v/regrouping-whole-numbers-example-2/,,,E,
,Quiz 2,g3_p3_q2,,E,
,Grade III - Unit Test 1,"g3_p1, g3_p2, g3_p3",g3_t1,,5
,,,,,
,Playlist 4: Addition without carryover,g3_p4,,E,
,Subtitle: Week 5,,,,
Video 1,/v/basic-addition/,,,E,
Exercise 1,/e/addition_1/,,,E,
Video 2,/v/adding-whole-numbers-and-applications-1/,,,E,
,,,,,
,,,,,
,,,,,
,Playlist 5: Write and retell multiplication tables,g3_p5,,E,
,Subtitle: Week 6,,,,
Video 1,/v/multiplication-intro/,,,E,
Video 2,/v/multiplication-as-groups-of-objects/,,,E,
Video 3,/v/more-on-the-concept-of-multiplication/,,,E,
Video 4,/v/number-line-1/,,,E,
Video 5,/v/basic-multiplication/,,,E,
Video 6,/v/multiplication-2--the-multiplication-tables/,,,E,
Video 7,/v/multiplying-whole-numbers-and-applications-1/,,,E,
Video 8, /v/multiplication-3--10-11-12-times-tables/,,,E,
Exercise 1,/e/number_line/,,,E,
Exercise 2,/e/multiplication_0.5/,,,E,
,Quiz 3,g3_p5_q3,,E,
,Grade III - Unit Test 2,"g3_p4, g3_p5",g3_t2,,5
,,,,,
,"Playlist 6: Identify sides, vertices, edges",g3_p6,,E,
,Subtitle: Week 7,,,,
Video 1, /v/measuring-segments/,,,E,
Video 2,/v/congruent-segments/,,,E,
Exercise 1,/e/measuring_segments/,,,E,
Exercise 2,/e/congruent_segments/,,,E,
Video 3,/v/quadrilateral-overview/,,,E,
Video 4,/v/quadrilateral-properties/,,,E,
Video 5,/v/perimeter-of-a-polygon/,,,E,
