Index,Link,Playlist ID,Unit test ID,Optional / Essential (O/E),number of cycles
,,,,,
,,,,,
,,,,,
,Playlist 1: Place values,g4_p1,,E,
,Subtitle: Week 1,,,E,
Video 1,/v/place-value-1/,,,E,
Video 2,/v/place-value-2/,,,E,
Video 3,/v/place-value-3/,,,E,
Video 4,/v/representing-numbers/,,,E,
Video 5,/v/comparing-place-values/,,,E,
Video 6,/v/understanding-place-value-1-exercise/,,,E,
Video 7,/v/place-value-relationships-example/,,,E,
Exercise 1,/e/place_value/,,,E,
,,,,,
,Playlist 2: Understanding & regrouping whole numbers- counting and greater than/less than basics,g4_p2,,E,
Video 1,"/v/regrouping-numbers-intro-various-place-values/
",,,E,
Video 2,/v/comparing-whole-number-place-values/,,,E,
Video 3,/v/largest-possible-number-from-4-digits-example/,,,E,
Video 4,/v/counting-1-exercise/,,,E,
Exercise 1,/e/counting_1/,,,E,
,Quiz 1,g4_p2_q1,,E,
,Subtitle: Week 2,,,E,
Video 5,/v/regrouping-whole-numbers/,,,E,
Video 6,/v/regrouping-whole-numbers-example-1/,,,E,
Video 7,/v/regrouping-whole-numbers-example-2/,,,E,
Video 8,/v/greater-than-and-less-than-symbols/,,,E,
Video 9,/v/plotting-inequalities-on-a-number-line/,,,E,
Video 10,/v/writing-numerical-inequalities-exercise/,,,E,
Video 11,"/v/inequalities-in-one-variable-1-exercise/
",,,E,
Video 12,/v/inequalities-on-a-number-line/,,,E,
Exercise 2,/e/comparing_whole_numbers/,,,E,
Exercise 3,/e/inequalities_on_a_number_line/,,,E,
,Quiz 2,g4_p2_q2,,E,
,,,,,
,Playlist 3:  Addition & subtraction- addition with carrying ,g4_p3,,E,
,Subtitle: Week 3,,,E,
Video 1,/v/basic-addition/,,,E,
Video 2,/v/basic-subtraction/,,,E,
Exercise 1,/e/addition_1/,,,E,
Exercise 2,/e/subtraction_1/,,,E,
Video 3,/v/adding-whole-numbers-and-applications-1/,,,E,
Video 4,/v/subtraction-2/,,,E,
Video 5,/v/subtracting-whole-numbers/,,,E,
Video 6,/v/level-2-addition/,,,E,
Exercise 3,/e/addition_2/,,,E,
Exercise 4,/e/subtraction_2/,,,E,
Video 7,/v/carrying-when-adding-three-digit-numbers/,,,E,
Video 8,/v/why-carrying-works/,,,E,
Video 9,/v/example-adding-with-carrying/,,,E,
Video 10,/v/addition-4/,,,E,
Exercise 5,/e/addition_3/,,,E,
Exercise 6,/e/addition_4/,,,E,
,Quiz 3,g4_p3_q3,,E,
,Grade IV - Unit Test 1,"g4_p1, g4_p2, g4_p3",g4_t1,,3
,,,,,
,Playlist 4:  Subtraction with carrying- addition & subtraction word problems,g4_p4,,E,
,Subtitle: Week 4,,,E,
Video 1,/v/basic-regrouping-or-borrowing-when-subtracting-three-digit-numbers/,,,E,
Video 2,/v/regrouping-when-subtracting-three-digit-numbers/,,,E,
Video 3,/v/regrouping-twice-when-subtracting-three-digit-numbers/,,,E,
Video 4,/v/regrouping-from-0-when-subtracting-three-digit-numbers/,,,E,
Video 5,"/v/borrowing-once-example-1/
",,,E,
Video 6,/v/borrowing-once-example-2/,,,E,
Video 7,/v/regrouping--borrowing--twice-example/,,,E,
