Index,Link,Playlist ID,Essential/Optional (E/O),
,Baseline Exam,"g4_p1,g4_p2,g4_p3,g4_p4,
g4_p5,g4_p6,g4_p7,g4_p9
,g4_p10,g4_p11,g4_p12,
g4_p13,g4_p14,g4_p15,
g4_p16,g4_p18",,
,,,,
Playlist 1: Place values,,g5_p1,,
,,,,
,Subtitle:Week 1,,E,
Video1,/v/place-value-1/,,E,
Video 2,/v/place-value-2/,,E,
Video 3,/v/representing-numbers/,,E,
Video 4,/v/comparing-place-values/,,E,
Video5,/v/understanding-place-value-1-exercise/,,E,
Video6,/v/place-value-relationships-example/,,E,
Exercise 1,/e/place_value,,E,
Video 7,/v/regrouping-numbers-intro-various-place-values/,,E,
Video 8,/v/comparing-whole-number-place-values/,,E,
Video 9,/v/largest-possible-number-from-4-digits-example/,,E,
Video 10,/v/counting-1-exercise/,,E,
Exercise 2,/e/counting_1/,,E,
,,,,
Playlist 2: Understanding & regrouping whole numbers- counting and inequalities,,g5_p2,,
,,,,
,Subtitle:Week 2,,E,
Video1, /v/regrouping-whole-numbers/,,E,
Video 2, /v/regrouping-whole-numbers-example-1/,,E,
Video 3,/v/regrouping-whole-numbers-example-2/,,E,
Video 4,/v/greater-than-and-less-than-symbols/,,E,
Exercise 1,/e/greater-than-less-than/e/comparing_whole_numbers/,,E,
Video 6, /v/plotting-inequalities-on-a-number-line/,,E,
Video 7, /v/writing-numerical-inequalities-exercise/,,E,
Video 8, /v/inequalities-in-one-variable-1-exercise/,,E,
Video 9, /v/inequalities-on-a-number-line/,,E,
Video 10,/v/figuring-out-days-of-the-week/,,E,
Exercise 2,/e/comparing_whole_numbers/,,E,
Exercise 3 ,/e/greater-than-less-than/e/comparing_whole_numbers/,,E,
Exercise 4,/e/inequalities_on_a_number_line/,,E,
,Quiz 1,g5_p2_q1,,
,,,,
Playlist 3: Addition & subtraction- addition with carrying,,g5_p3,,
,,,,
,Subtitle: Week 3,,,
Video 1,/v/basic-addition/,,E,
Video 2,/v/basic-subtraction/,,E,
Exercise 1,e/addition_1/,,E,
Exercise 2,/e/subtraction_1,,E,
Video 3,/v/adding-whole-numbers-and-applications-1/,,E,
Video 4,/v/subtraction-2/,,E,
Video 5,/v/subtracting-whole-numbers/,,E,
Video 6,/v/level-2-addition/,,E,
Exercise 3 ,/e/addition_2/,,E,
Exercise 4,/e/subtraction_2/,,E,
Video 7,/v/carrying-when-adding-three-digit-numbers/,,E,
Video 8,/v/why-carrying-works/,,E,
Video 9,/v/example-adding-with-carrying/,,E,
Video 10,/v/addition-4/,,E,
Exercise 5,/e/addition_3/,,E,
Exercise 6,/e/addition_4/,,E,
,Subtitle: Week 4,,,
Video 11,/v/basic-regrouping-or-borrowing-when-subtracting-three-digit-numbers/,,E,
Video 12,/v/regrouping-when-subtracting-three-digit-numbers/,,E,
Video 13,/v/regrouping-twice-when-subtracting-three-digit-numbers/,,E,
Video 14,/v/regrouping-from-0-when-subtracting-three-digit-numbers/,,E,
Video 15,/v/sub_borrowing/v/borrowing-once-example-1/,,E,
Video 16,/v/regrouping--borrowing--twice-example/,,E,
Exercise 7,/e/subtraction_3/,,E,
Exercise 8,/e/subtraction_4,,E,
Video 17,/v/subtraction-word-problem/,,E,
Exercise 9,/e/arithmetic_word_problems_1/,,E,
,Quiz 2,g5_p3_q2,,
,,,,
Playlist 4: Concept of multiplication- basics of multiplication,,g5_p4,,
,,,,
,Subtitle: Week 5,,,
Video 1,/v/multiplication-intro/,,E,
Video 2,/v/multiplication-as-groups-of-objects/,,E,
Video 3,/v/more-on-the-concept-of-multiplication/,,E,
Video 4,/v/number-line-1/,,E,
Video 5,/v/basic-multiplication/,,E,
Video 6,/v/multiplication-2--the-multiplication-tables/,,E,
Video 7,/v/multiplying-whole-numbers-and-applications-1/,,E,
Video 8,/v/multiplication-3--10-11-12-times-tables/,,E,
Exercise 1,/e/number_line/,,E,
Exercise 2,/e/multiplication_0.5/,,E,
,,,,
,Grade V - Unit Test 1," g5_p1,g5_p2,g5_p3,g5_p4",E,3
,,,,
Playlist 5: Multi-digit multiplication- lattice multiplication ,,g5_p5,,
,,,,
,Subtitle: Week 6,,,
Video 1,/v/multiplying-by-multiples-of-10/,,,
Video 2,/v/more-on-the-concept-of-multiplication/,,E,
Video 3,/v/more-on-the-concept-of-multiplication/,,E,
Video 4,/v/number-line-1/,,E,
Video 5,/v/3-digit-times-1-digit-example/,,E,
Video 6,/v/4-digit-times-1-digit-example/,,E,
Video 7,/v/multiplication-5---2-digit-times-a-2-digit-number/,,E,
Video 8,/v/multiplying-whole-numbers-and-applications-2/,,E,
Video 9,/v/multiplication-6--multiple-digit-numbers/,,E,
Video 10,/v/multiplying-whole-numbers-and-applications-4/,,E,
Video 11,/v/multiplication-7--old-video-giving-more-examples/,,E,
Exercise 1,/e/multiplication_1/,,E,
Exercise 2,/e/multiplication_1.5/,,E,
Exercise 3,/e/multiplication_2/,,E,
Exercise 4,/e/multiplication_3/,,E,
Exercise 5,/e/multiplication_4/,,E,
Video 12,/v/lattice-multiplication/,,E,
Video 13,/v/why-lattice-multiplication-works/,,E,
,Quiz 3,g5_p5_q3,E,
,,,,
Playlist 6: Multiplication and division word problems,,g5_p6,,
,,,,
,,,,
,Subtitle: Week 7,,,
Video 1,/v/comparing-with-multiplication-exercise/,,E,
Video 2,/v/multiplying-whole-numbers-and-applications-6/,,E,
Video 3,/v/multiplication-word-problem-example-1/,,E,
Video 4,/v/division-word-problem-example-1/,,E,
Video 5,/v/multiplication-and-division-word-problems-2/,,E,
Exercise 1,/e/arithmetic_word_problems_2/,,E,
Exercise 2,/e/arithmetic_word_problems/,,E,
,Subtitle: Week 8,,E,
Video 6,/v/multi-step-word-problems-with-whole-numbers-exercise-1/,,E,
Video 7,/v/multi-step-word-problems-with-whole-numbers-exercise-t2/,,E,
Video 8,/v/multi-step-word-problems-with-whole-numbers-exercise-3/,,E,
Video 9,/v/understanding-multiplication-through-area-models/,,E,
Video 10,/v/area-model-for-multiplication/,,E,
Video 11,/v/multistep-word-problems-example-1/,,E,
Video 12,/v/multistep-word-problems-example-2/,,E,
Video 13,/v/multistep-word-problems-example-3/,,E,
,,,,
"Playlist 7: Points, lines and planes- number patterns",,g5_p7,,
,,,,
,Subtitle:week 9,,,
Video 1,/v/measuring-segments/,,E,
Video 2,/v/congruent-segments/,,E,
Exercise 1,/congruent_segments/,,E,
Exercise 2,/e/measuring_segments/,,E,
Video 3,/v/figuring-out-days-of-the-week/,,E,
Video 4,/v/math-patterns-example-1/,,E,
Video 5,/v/math-patterns-example-2/,,E,
Video 6,/v/relationships-between-patterns/,,E,
Video 7,/v/interpreting-relationships-between-patterns/,,E,
Video 8,/v/interpreting-and-graphing-relationships-between-patterns/,,E,
,,,,
Playlist 8:Factors and multiples,,g5_p8,,
,,,,
,Subtitle: week 10,,,
Video 1,/v/divisibility-tests-for-2--3--4--5--6--9--10/,,E,
Video 2,/v/recognizing-divisibility/,,E,
Video 3,/v/the-why-of-the-3-divisibility-rule/,,E,
Video 4,/v/the-why-of-the-9-divisibility-rule/,,E,
Video 5,/v/finding-factors-of-a-number/,,E,
Exercise 1,Exercise:/e/divisibility_tests/,,E,
Exercise 2 ,Exercise:/e/divisibility_0.5/,,E,
Video 6,/v/prime-numbers/,,E,
Video 7,/v/recognizing-prime-numbers/,,E,
Exercise 3,/e/prime_numbers/,,E,
Exercise 4,/e/composite_numbers/,,E,
,Quiz 4,g5_p8_q4,,
,,,,
Playlist 9:Reading and interpreting data,,g5_p9,,
,,,,
,Subtitle: week 11,,,
Video 1,/v/reading-tables-1/,,E,
Video 2,/v/reading-tables-2/,,E,
Exercise 1,/e/reading_tables_1/,,E,
Exercise 2,/e/reading_tables_2/,,E,
Video 3,/v/u08-l1-t2-we3-stem-and-leaf-plots/,,E,
Video 4,/v/reading-stem-and-leaf-plots/,,E,
Video 5,/v/reading-pictographs/,,E,
Video 6,/v/reading-bar-graphs/,,E,
Video 7,/v/histograms/,,E,
