Index,Link,Playlist ID,Unit test ID,Essential/Optional (E/O),Number of cycles
,Playlist 0: nonexistent,,,,
Exercise1,/e/divisibility_tests/,g6_m1,g6_mt0,E,
Exercise 2,/e/prime_factorization/,g6_m1,,E,
Exercise 3,/e/least_common_multiple/,g6_m1,,E,
Exercise 4,/e/greatest_common_divisor/,g6_m1,,E,
Exercise 5,/e/least_common_multiple_and_greatest_common_divisor_word_problems/,g6_m1,,E,
Exercise 6,/e/order_of_operations,g6_m1,,E,
Exercise 7,/e/distributive_property/,g6_m1,,E,
Exercise 8,/e/exponents_1/,g6_m1,,E,
Exercise 9,/e/square_roots/,g6_m1,,,
,,,,,
,,,,,
,Grade IV Mid Year Exam,g6_m1,,E,3
